@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric
@attribute outputs-27 numeric

@data
27,'2018/05/10 09:47:07:065',2,-44.860565,402.22049,39.008305,-31.398834,400.597717,58.894608,60.647675,410.526489,65.222382,136.878479,409.287384,64.502563,214.351166,409.964172,58.152843,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,'2018/05/10 09:47:07:113',2,-41.041412,403.290649,39.311249,-31.120911,400.998352,58.777763,60.930847,410.849396,65.084961,137.371979,409.388,64.360809,214.783264,409.741089,58.003223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,'2018/05/10 09:47:07:161',2,-35.007202,403.467346,38.571285,-30.080902,401.444122,57.83234,61.453949,411.08844,64.217873,137.908997,409.188751,63.59771,215.774338,408.939514,57.342983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,'2018/05/10 09:47:07:211',2,-32.587341,405.440979,40.334724,-29.117859,401.693726,59.22612,63.52356,411.359863,65.267189,139.868652,409.225189,64.374298,216.258743,408.89505,57.845783,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,'2018/05/10 09:47:07:259',2,-36.677185,407.194702,40.640778,-28.815308,401.749664,59.951042,64.324219,411.38446,65.773819,140.997101,409.142517,64.690201,216.2397,408.709473,57.986141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,'2018/05/10 09:47:07:309',2,-35.181824,404.199005,38.888664,-28.318695,399.75174,58.518394,63.333893,410.470886,64.503922,140.314117,408.81839,63.618507,216.564789,408.520782,57.102798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,'2018/05/10 09:47:07:359',2,-36.940338,404.063873,38.021454,-28.208099,399.957977,58.195267,62.742676,410.302429,64.254814,139.660645,408.708496,63.459618,216.381332,408.575623,57.02636,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,'2018/05/10 09:47:07:409',2,-40.912567,406.373718,37.0839,-27.862061,399.842743,58.230377,62.63736,410.249054,64.245651,139.523315,408.673492,63.452286,216.281952,408.774689,57.007206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,'2018/05/10 09:47:07:459',2,-35.122009,405.265472,37.034607,-26.645142,399.372986,57.906456,62.756134,409.981201,64.036545,139.548492,408.751282,63.382092,216.948776,409.344025,57.069134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,'2018/05/10 09:47:07:511',2,-8.676758,404.917053,38.094692,-26.213135,399.470825,57.65572,62.794983,409.747803,63.957611,139.177155,408.502289,63.43256,217.245453,409.335449,57.264641,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,'2018/05/10 09:47:07:559',2,-8.501282,404.676666,38.269291,-26.752563,398.289703,58.082249,62.980743,409.040222,64.216721,138.970245,407.619385,63.565845,216.317078,408.781555,57.267723,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
